show_id,type,release_year,genres,director,cast
s369,Movie,1941,"Arts, Entertainment, and Culture, Drama",Erle C. Kenton,Jean Hersholt
s370,Movie,1936,"Drama, Romance",William Wyler,Miriam Hopkins
s371,TV Show,2021,"Drama, Horror, Suspense",,Deborah Ayorinde
s373,Movie,2020,"Drama, International, Romance",Isao Yukisada,Kento Yamazaki
s374,Movie,2001,Drama,Ralph Ziman,Sam Neill
s375,Movie,2013,"Comedy, Horror",Aidan Belizaire,Edward Furlong
s376,Movie,1959,"Action, Western",Ted Tetzlaff,Pat Wayne
s377,Movie,2018,Drama,Alexandre Moors,Tye Sheridan
s378,TV Show,1997,Kids,,Martin P. Robinson
s384,Movie,2004,"Drama, Faith and Spirituality, Romance",Russell Holt,Sam Hennings
s386,Movie,2012,Documentary,"Angelo J. Guglielmo,  Jr.",Tania Head
s387,Movie,1943,Western,George Archainbaud,Claire Trevor
s388,Movie,2015,"Horror, Suspense",Tom Harper,Helen McCory
s389,TV Show,2020,"Drama, Romance",,Li Qin
s390,TV Show,2018,Horror,,Michael Ballif
s391,Movie,2012,"Drama, Faith and Spirituality, LGBTQ",Stephen Cone,Molly Kunz
s392,Movie,1999,"Drama, Romance",David Mamet,Nigel Hawthorne
s393,TV Show,2020,"Drama, Suspense, Young Adult Audience",,Rachel Griffiths
s395,Movie,1975,"Horror, Suspense",Robin Hardy,Edward Woodward
s396,TV Show,2020,"Drama, LGBTQ, Unscripted",,Robyn Daye Edwards
s397,Movie,2014,"Documentary, Music Videos and Concerts",Martin R Smith,The Who
s398,Movie,2011,"Documentary, Military and War",Robert Child,Corey Reynolds
s399,Movie,2019,Comedy,Robert Luketic,Sarah Hyland
s400,Movie,1935,"Drama, Romance",King Vidor,Gary Cooper
s402,TV Show,2021,Drama,,Leonor Watling
s403,Movie,2020,"Drama, Science Fiction, Suspense",Andrew Patterson,Sierra McCormick
s404,TV Show,2019,Drama,,Sean Xiao
s405,TV Show,2021,Drama,,Thuso Mbedu
s406,Movie,1943,"Drama, Military and War",William Nigh,Barton MacLane
s407,Movie,2017,"Documentary, Kids, Special Interest",Loki Mulholland,Loki Mulholland
s408,TV Show,2015,TV Shows,,Dan Castellaneta
s409,Movie,2015,"Drama, Faith and Spirituality",Joanne Hock,Logan Bartholomew
s411,TV Show,2020,"Drama, Romance",,Yu Xiao Tong
s413,Movie,2001,"Animation, Kids","Terry L. Noss, Richard Rich",Jason Alexander
s414,Movie,2018,"Drama, Faith and Spirituality",Stephan Schultze,Chris Nelson
s415,Movie,2020,"Action, Drama",Martin Krejcí,Jaeden Martell
s416,TV Show,2005,TV Shows,,Eric Stoltz
s417,TV Show,2017,"Drama, Suspense",,Michael Gould
s419,TV Show,2014,Drama,,Justine Clarke
s420,TV Show,2019,"Action, Comedy",,Peter Serafinowicz
s421,TV Show,2019,"Special Interest, Unscripted",,Colin Hampden-White
s423,TV Show,2018,"Documentary, Special Interest",,Marc Seifer
s425,Movie,1963,"Drama, Horror, Suspense",Roger Corman,Boris Karloff
s426,Movie,2012,"Horror, Suspense",Pascal Laugier,Jessica Biel
s427,Movie,2017,"Horror, Suspense",Wei-Hao Cheng,Rainie Yang
s428,Movie,1969,Drama,"Jordan Leondopoulos, John C. Broderick, John Shade",Robert De Niro
s429,Movie,2018,"Documentary, Special Interest",Swami Tadatmananda,Swami Tadatmananda
s430,TV Show,2005,"Drama, Suspense",,Justine Clarke
s431,Movie,2019,Kids,"Matt Servo, Troy McDonald, Laurel Dalgleish, Brett Jubinville",Andy Hayward
s432,Movie,2015,Drama,Eric Bilitch,Finn Wittrock
s433,Movie,2011,Documentary,Tony Waters,Barry Gibb
s434,Movie,2011,Documentary,Robin Parsons,Rod Stewart
s436,Movie,1994,Comedy,James Melkonian,Bradford Tatum
s437,TV Show,2019,Kids,,Issac Ryan Brown
s438,Movie,2015,"Comedy, Drama, Romance",David Jackson,Thomas Beaudoin
s439,Movie,2014,"Drama, Science Fiction, Suspense",Evan Oppenheimer,Nick Stahl
s440,Movie,2020,Comedy,André Pellenz,Paulo Mathias Jr.
s441,Movie,2020,"Drama, Horror, Suspense",B. Harrison Smith,Davy Raphaely
s442,Movie,2019,"Drama, Romance",Joanna Hogg,Tilda Swinton
s443,TV Show,2016,Kids,,Donielle Hansley
s444,Movie,1952,"Action, Drama",Henry King,Gregory Peck
s445,Movie,2015,"Animation, Kids",Aleksey Tsitsilin,Sharlto Copley
s446,TV Show,2005,"Action, Fantasy",,Pax Baldwin
s447,TV Show,2014,TV Shows,,Jamie Bamber
s448,TV Show,2020,"Comedy, Drama, Romance",,Yecheng Zheng
s449,Movie,2014,"Arts, Entertainment, and Culture, Comedy, Special Interest",Jay Chapman,Jason Sklar
s450,TV Show,2019,"Documentary, Special Interest",,Alfred de Montesquiou
s452,Movie,2008,"Action, Drama, International",Jean van de Velde,Thekla Reutin
s453,Movie,2020,Suspense,Robin Pront,Nikolaj Coster-Waldau
s454,Movie,2015,"Drama, Suspense",Shawn Cunningham,Tiffany Pollard
s455,TV Show,2014,"Documentary, Special Interest",,Jim Al-Khalili
s456,Movie,1995,Drama,John Sayles,Jeni Courtney
s457,Movie,1947,"Comedy, Science Fiction",Norman Z. McLeod,Danny Kaye
s458,TV Show,2006,"Drama, Romance",,Deborah Mailman
s459,Movie,2016,Documentary,"Elliot Weaver, Zander Weaver",Dr. Nigel Bannister
s460,Movie,2008,Horror,Carter Smith,Jonathan Tucker
s461,TV Show,2006,Comedy,,Brian Viner
s464,Movie,2010,"Comedy, Drama",Galt Neiderhoffer,Katie Holmes
s465,TV Show,2018,Drama,,Jack Huston
s467,TV Show,2019,Special Interest,,Courtney Hansen
s469,Movie,2001,"Comedy, Kids",Paul Schneider,Robert Hays
s470,TV Show,2018,"International, Music Videos and Concerts, Unscripted",,Akhil Talreja
s472,Movie,1999,"Action, Kids",Mario Andreacchio,Jamie Croft
s473,Movie,1939,"Action, Drama, Romance",Henry Hathaway,Gary Cooper
