show_id,type,title,director,release_year,rating,duration,listed_in,duration_int
s4573,Movie,Morphle - Adventures of Mila and Morphle,Arthur van Merwijk,2019,G,51 min,"Animation, Kids",51
s4574,Movie,Monchuri,Premasish Dey,2015,G,122 min,Comedy,122
s4575,Movie,Mitzi... Roarin' in the 20s,Tony Charmoli,1976,16+,51 min,"Arts, Entertainment, and Culture",51
s4576,Movie,Long Lost Son,Brian Trenchard-Smith,2006,13+,89 min,"Drama, Suspense",89
s4577,Movie,Little Cooper,Lamb Florence,2020,7+,71 min,"Drama, Science Fiction",71
s4578,Movie,Late Night,Nisha Ganatra,2019,R,102 min,"Comedy, Drama",102
s4579,Movie,Jugni,Shefali Bhushan,2016,13+,111 min,Drama,111
s4580,Movie,How to Steal a Dog,Kim Sung-ho,2015,13+,110 min,"Drama, Kids",110
s4581,Movie,Hell House LLC,Stephen Cognetti,2016,18+,91 min,Horror,91
s4582,Movie,Happy Home,Dany Boon,2006,16+,99 min,Comedy,99
s4583,TV Show,Ghost Files Germany,,2021,16+,1 Season,"Horror, Suspense",1
s4585,Movie,Gen-Y Cops,Benny Chan,2002,18+,109 min,"Action, Science Fiction",109
s4586,Movie,Expiry,Tom Gatley,2021,16+,86 min,"Science Fiction, Suspense",86
s4587,Movie,Escape from a Nazi Death Camp,Hereward Pelling,2014,16+,55 min,Documentary,55
s4588,Movie,En Jeevan Paduthu,R. Sundarrajan,1988,G,128 min,"Drama, Romance",128
s4589,Movie,Elliott Morgan: Holy Sh*t,Sharon Everitt,2019,18+,55 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",55
s4590,TV Show,Dolly's Stories,,2018,G,1 Season,"Animation, Kids",1
s4591,Movie,Dil Hai Tumhara,Kundan Shah,2000,13+,177 min,Romance,177
s4592,Movie,Dhonni Meye,ARABINDA MUKHERJEE,1971,G,133 min,Comedy,133
s4593,Movie,Cup of Love,David Jackson,2016,7+,91 min,Comedy,91
s4594,Movie,Crown Heights,Matt Ruskin,2017,R,100 min,Drama,100
s4595,Movie,Compulsion,Ángel González,2020,16+,79 min,"Drama, Horror, Suspense",79
s4596,Movie,Christmas With The Karountzoses,"Robert Krantz, J.J. Englert",2015,13+,106 min,"Comedy, Special Interest",106
s4597,Movie,Caribbean Cookout,Jean-Claude LaMarre,2008,13+,75 min,Comedy,75
s4598,Movie,Bunnyman Vengeance,carl lindbergh,2017,18+,107 min,Horror,107
s4599,Movie,Blippi - Educational Videos for Toddlers,Stevin John,2021,G,64 min,Kids,64
s4600,Movie,Binhi,Pedring Lopez,2015,16+,90 min,Horror,90
s4601,Movie,Baabul,Ravi Chopra,2006,G,163 min,"Drama, Romance",163
s4602,Movie,Available,Les Mahoney,2016,13+,73 min,"Action, Drama, Suspense",73
s4603,Movie,Arishadvarga,Arvind Kamath,2020,18+,131 min,"Drama, Suspense",131
s4604,Movie,Airline Disaster: Crash of the Century,Chantal Hebert,2005,13+,87 min,"Action, Documentary, Special Interest",87
s4606,Movie,A Night in Old Mexico,Emilio Aragón,2014,16+,104 min,"Action, Drama, Western",104
s4609,TV Show,Young Charlie Chaplin,,1989,13+,1 Season,"Arts, Entertainment, and Culture, Drama",1
s4610,Movie,Winter Warrior,Robbie Moffat,2003,16+,91 min,"Action, Adventure, Drama",91
